label_column,hold_minutes,initial_usd,final_usd,total_pnl_usd,n_trades,win_rate,avg_pnl_usd,max_drawdown_usd,diag_total_signals,diag_unknown_label,diag_flat_signals,diag_actionable_signals,diag_overlap_skipped,diag_time_out_of_range,diag_entry_match_fail,diag_entry_matched,diag_insufficient_usd
Competitor Label,60,100000,99997.32847,-2.671526479,41,36.59%,-0.065159182,4000.778507,444,0,403,41,0,0,0,41,0
Competitor Label,1,100000,99993.78893,-6.211067124,41,2.44%,-0.151489442,2005.42466,444,0,403,41,0,0,0,41,0
Competitor Label,2,100000,99993.40159,-6.598413547,41,7.32%,-0.160936916,3001.136382,444,0,403,41,0,0,0,41,0
Competitor Label,3,100000,99993.26496,-6.735042691,41,7.32%,-0.164269334,3001.09487,444,0,403,41,0,0,0,41,0
Competitor Label,15,100000,99993.05571,-6.944291995,41,17.07%,-0.169372975,3000.520427,444,0,403,41,0,0,0,41,0
Competitor Label,4,100000,99992.84867,-7.151330718,41,7.32%,-0.1744227,3001.316596,444,0,403,41,0,0,0,41,0
Competitor Label,30,100000,99992.5013,-7.498701283,41,29.27%,-0.182895153,5000.473083,444,0,403,41,0,0,0,41,0
Competitor Label,20,100000,99992.39675,-7.603250386,41,12.20%,-0.185445131,3000.389438,444,0,403,41,0,0,0,41,0
Competitor Label,10,100000,99992.29096,-7.709042161,41,12.20%,-0.188025419,3000.998236,444,0,403,41,0,0,0,41,0
Competitor Label,5,100000,99991.83461,-8.165393732,41,7.32%,-0.199155945,3001.254325,444,0,403,41,0,0,0,41,0
Naive + Prompt Converted Label,15,100000,99985.25541,-14.74458748,117,22.22%,-0.126022115,4002.869265,444,0,327,117,0,0,0,117,0
Naive + Prompt Converted Label,10,100000,99984.23185,-15.76815422,117,17.09%,-0.134770549,4002.112599,444,0,327,117,0,0,0,117,0
Naive + Prompt Converted Label,1,100000,99983.3905,-16.60949846,117,5.13%,-0.141961525,2016.137981,444,0,327,117,0,0,0,117,0
Naive + Prompt Converted Label,2,100000,99983.24665,-16.75334899,117,6.84%,-0.143191017,3007.570018,444,0,327,117,0,0,0,117,0
