currency,label,hold_minutes,trade_amount,pnl,trades,pnl_per_trade,significance,confidence_level,mean_lower,mean_upper,bias_mean_lower,bias_mean_upper,sharpe,total_daily_pnl,total_trade_days,annualized_return_percentage,notes
BRLUSD,Naive p0,5,10000,58.00,257,.2256,0.362,90.0,-0.83,1.28,-0.82,1.29,0.302,58.00,6,0.244,real_modified_p0_predictions.csv
BRLUSD,Naive p0,10,10000,140.23,257,.5456,0.269,90.0,-0.89,2.00,-0.91,1.99,0.516,140.23,6,0.589,real_modified_p0_predictions.csv
BRLUSD,Naive p0,20,10000,301.15,257,1.1717,0.143,90.0,-0.62,2.95,-0.60,2.96,1.043,301.15,6,1.265,real_modified_p0_predictions.csv
BRLUSD,Naive p0,30,10000,455.74,257,1.7733,0.079,90.0,-0.26,3.85,-0.26,3.85,1.373,455.74,6,1.914,real_modified_p0_predictions.csv
BRLUSD,Naive p0,60,10000,624.99,257,2.4318,0.030,90.0,0.29,4.57,0.25,4.54,1.984,624.99,6,2.625,real_modified_p0_predictions.csv
BRLUSD,Naive p0,90,10000,405.75,257,1.5787,0.216,90.0,-1.71,4.95,-1.72,4.92,0.634,405.75,6,1.704,real_modified_p0_predictions.csv
BRLUSD,Naive p0,120,10000,1129.54,257,4.3950,0.056,90.0,-0.11,9.03,-0.20,8.94,1.147,1129.54,6,4.744,real_modified_p0_predictions.csv
BRLUSD,Naive p0,150,10000,1610.32,257,6.2658,0.033,90.0,0.75,11.80,0.81,11.84,1.303,1610.32,6,6.763,real_modified_p0_predictions.csv
BRLUSD,Naive p0,180,10000,1467.36,257,5.7095,0.053,90.0,-0.19,11.48,-0.17,11.51,1.359,1467.36,6,6.163,real_modified_p0_predictions.csv
BRLUSD,Naive p0,210,10000,1051.92,257,4.0930,0.151,90.0,-2.45,10.69,-2.39,10.73,1.158,1051.92,6,4.418,real_modified_p0_predictions.csv
BRLUSD,Naive p0,240,10000,761.53,257,2.9631,0.244,90.0,-3.92,9.89,-3.95,9.83,0.807,761.53,6,3.198,real_modified_p0_predictions.csv
BRLUSD,Expert p1,5,10000,-246.06,189,-1.3019,0.967,90.0,-2.46,-0.13,-2.50,-0.16,-1.884,-246.06,6,-1.033,real_modified_p1_predictions.csv
BRLUSD,Expert p1,10,10000,-326.31,189,-1.7265,0.965,90.0,-3.35,-0.17,-3.32,-0.14,-2.350,-326.31,6,-1.371,real_modified_p1_predictions.csv
BRLUSD,Expert p1,20,10000,-181.20,189,-.9587,0.795,90.0,-2.93,0.96,-2.95,0.94,-1.665,-181.20,6,-0.761,real_modified_p1_predictions.csv
BRLUSD,Expert p1,30,10000,46.94,189,.2483,0.429,90.0,-1.98,2.60,-1.99,2.58,0.242,46.94,6,0.197,real_modified_p1_predictions.csv
BRLUSD,Expert p1,60,10000,13.24,189,.0700,0.480,90.0,-2.47,2.61,-2.43,2.65,0.040,13.24,6,0.056,real_modified_p1_predictions.csv
BRLUSD,Expert p1,90,10000,53.77,189,.2844,0.453,90.0,-3.70,4.31,-3.63,4.39,0.172,53.77,6,0.226,real_modified_p1_predictions.csv
BRLUSD,Expert p1,120,10000,-127.24,189,-.6732,0.579,90.0,-6.08,4.67,-6.06,4.70,-0.338,-127.24,6,-0.534,real_modified_p1_predictions.csv
BRLUSD,Expert p1,150,10000,709.92,189,3.7561,0.181,90.0,-2.98,10.43,-3.08,10.30,1.943,709.92,6,2.982,real_modified_p1_predictions.csv
BRLUSD,Expert p1,180,10000,755.62,189,3.9979,0.177,90.0,-3.19,11.03,-3.04,11.15,1.573,755.62,6,3.174,real_modified_p1_predictions.csv
BRLUSD,Expert p1,210,10000,223.23,189,1.1811,0.407,90.0,-6.67,9.00,-6.98,8.73,0.201,223.23,6,0.938,real_modified_p1_predictions.csv
BRLUSD,Expert p1,240,10000,77.68,189,.4110,0.471,90.0,-8.32,8.98,-8.15,9.13,0.065,77.68,6,0.326,real_modified_p1_predictions.csv
BRLUSD,Expert p21s,5,10000,-197.08,218,-.9040,0.910,90.0,-1.99,0.17,-2.01,0.16,-1.211,-197.08,6,-0.828,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,10,10000,-164.81,218,-.7560,0.798,90.0,-2.25,0.73,-2.24,0.74,-0.617,-164.81,6,-0.692,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,20,10000,43.59,218,.1999,0.430,90.0,-1.73,2.15,-1.69,2.18,0.152,43.59,6,0.183,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,30,10000,248.70,218,1.1408,0.200,90.0,-1.01,3.43,-1.02,3.41,0.587,248.70,6,1.045,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,60,10000,235.94,218,1.0822,0.230,90.0,-1.36,3.45,-1.29,3.51,0.556,235.94,6,0.991,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,90,10000,-93.53,218,-.4290,0.576,90.0,-4.11,3.35,-4.12,3.32,-0.281,-93.53,6,-0.393,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,120,10000,472.02,218,2.1652,0.234,90.0,-2.64,7.06,-2.74,6.97,1.482,472.02,6,1.982,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,150,10000,1111.43,218,5.0983,0.086,90.0,-1.09,11.15,-1.07,11.21,2.140,1111.43,6,4.668,real_modified_p21s_predictions.csv
