currency,label,hold_minutes,trade_amount,pnl,trades,pnl_per_trade,significance,confidence_level,mean_lower,mean_upper,bias_mean_lower,bias_mean_upper,sharpe,total_daily_pnl,total_trade_days,annualized_return_percentage,notes
BRLUSD,Naive p0,5,10000,35.28,130,.2713,0.354,90.0,-0.94,1.49,-0.94,1.49,0.603,35.28,6,0.148,real_modified_p0_predictions.csv
BRLUSD,Naive p0,10,10000,88.06,95,.9269,0.232,90.0,-1.05,2.93,-0.99,3.00,0.611,88.06,6,0.370,real_modified_p0_predictions.csv
BRLUSD,Naive p0,20,10000,53.48,68,.7864,0.343,90.0,-2.40,3.93,-2.39,3.95,0.589,53.48,6,0.225,real_modified_p0_predictions.csv
BRLUSD,Naive p0,30,10000,30.50,51,.5980,0.420,90.0,-4.33,5.44,-4.23,5.51,0.268,30.50,6,0.128,real_modified_p0_predictions.csv
BRLUSD,Naive p0,60,10000,158.57,32,4.9553,0.118,90.0,-1.75,11.86,-1.62,12.02,1.483,158.57,6,0.666,real_modified_p0_predictions.csv
BRLUSD,Naive p0,90,10000,68.74,25,2.7496,0.358,90.0,-8.68,12.71,-9.76,11.87,0.707,68.74,6,0.289,real_modified_p0_predictions.csv
BRLUSD,Naive p0,120,10000,145.34,19,7.6494,0.178,90.0,-5.51,20.22,-5.53,20.20,1.048,145.34,6,0.610,real_modified_p0_predictions.csv
BRLUSD,Naive p0,150,10000,198.37,17,11.6688,0.148,90.0,-4.74,29.08,-3.41,30.19,0.874,198.37,6,0.833,real_modified_p0_predictions.csv
BRLUSD,Naive p0,180,10000,121.52,14,8.6800,0.240,90.0,-10.09,27.07,-9.31,28.19,0.765,121.52,6,0.510,real_modified_p0_predictions.csv
BRLUSD,Naive p0,210,10000,386.26,14,27.5900,0.046,90.0,4.95,52.03,5.54,52.89,1.795,386.26,6,1.622,real_modified_p0_predictions.csv
BRLUSD,Naive p0,240,10000,-105.65,10,-10.5650,0.703,90.0,-36.79,12.14,-39.69,10.34,-0.584,-105.65,6,-0.444,real_modified_p0_predictions.csv
BRLUSD,Expert p1,5,10000,53.45,106,.5042,0.274,90.0,-0.94,1.94,-0.98,1.89,0.620,53.45,6,0.224,real_modified_p1_predictions.csv
BRLUSD,Expert p1,10,10000,24.60,84,.2928,0.409,90.0,-1.82,2.42,-1.81,2.44,0.262,24.60,6,0.103,real_modified_p1_predictions.csv
BRLUSD,Expert p1,20,10000,93.73,61,1.5365,0.239,90.0,-2.01,4.90,-2.06,4.85,1.197,93.73,6,0.394,real_modified_p1_predictions.csv
BRLUSD,Expert p1,30,10000,83.07,48,1.7306,0.287,90.0,-3.28,6.62,-3.25,6.65,0.948,83.07,6,0.349,real_modified_p1_predictions.csv
BRLUSD,Expert p1,60,10000,-145.70,32,-4.5531,0.828,90.0,-12.40,2.76,-12.57,2.69,-1.273,-145.70,6,-0.612,real_modified_p1_predictions.csv
BRLUSD,Expert p1,90,10000,-152.12,24,-6.3383,0.781,90.0,-19.05,5.43,-19.66,4.88,-0.972,-152.12,6,-0.639,real_modified_p1_predictions.csv
BRLUSD,Expert p1,120,10000,139.56,19,7.3452,0.163,90.0,-4.28,19.25,-4.02,19.35,0.986,139.56,6,0.586,real_modified_p1_predictions.csv
BRLUSD,Expert p1,150,10000,186.78,14,13.3414,0.082,90.0,0.02,30.75,0.89,33.26,1.179,186.78,6,0.784,real_modified_p1_predictions.csv
BRLUSD,Expert p1,180,10000,27.79,14,1.9850,0.446,90.0,-18.02,21.15,-19.31,19.92,0.141,27.79,6,0.117,real_modified_p1_predictions.csv
BRLUSD,Expert p1,210,10000,-10.03,14,-.7164,0.517,90.0,-27.08,25.49,-26.98,25.65,-0.061,-10.03,6,-0.042,real_modified_p1_predictions.csv
BRLUSD,Expert p1,240,10000,-145.81,10,-14.5810,0.789,90.0,-40.15,7.01,-42.61,5.27,-1.138,-145.81,6,-0.612,real_modified_p1_predictions.csv
BRLUSD,Expert p21s,5,10000,-22.80,122,-.1868,0.586,90.0,-1.44,1.11,-1.44,1.10,-0.202,-22.80,6,-0.096,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,10,10000,-44.20,91,-.4857,0.638,90.0,-2.56,1.70,-2.53,1.72,-0.292,-44.20,6,-0.186,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,20,10000,0.46,63,.0073,0.498,90.0,-3.34,3.20,-3.35,3.18,0.004,0.46,6,0.002,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,30,10000,-9.81,48,-.2043,0.522,90.0,-5.11,4.67,-5.06,4.77,-0.102,-9.81,6,-0.041,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,60,10000,-204.21,31,-6.5874,0.912,90.0,-14.35,0.81,-14.70,0.56,-1.234,-204.21,6,-0.858,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,90,10000,-64.87,24,-2.7029,0.626,90.0,-15.32,9.47,-15.75,9.02,-0.578,-64.87,6,-0.272,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,120,10000,110.56,19,5.8189,0.217,90.0,-5.49,17.46,-5.22,17.76,1.232,110.56,6,0.464,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,150,10000,-18.82,15,-1.2546,0.565,90.0,-20.82,19.03,-20.40,19.48,-0.249,-18.82,6,-0.079,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,180,10000,69.05,14,4.9321,0.347,90.0,-13.35,22.88,-12.59,23.62,0.798,69.05,6,0.290,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,210,10000,36.30,14,2.5928,0.441,90.0,-23.43,29.08,-23.72,28.95,0.276,36.30,6,0.152,real_modified_p21s_predictions.csv
BRLUSD,Expert p21s,240,10000,-134.27,10,-13.4270,0.760,90.0,-39.67,9.86,-42.02,8.13,-0.728,-134.27,6,-0.564,real_modified_p21s_predictions.csv
USDCNY,Expert,5,10000,41.79,867,.0482,0.153,90.0,-0.03,0.12,-0.03,0.12,0.877,41.79,231,0.005,2024 news file.csv
USDCNY,Expert,10,10000,60.88,829,.0734,0.149,90.0,-0.04,0.19,-0.04,0.19,0.997,60.88,231,0.007,2024 news file.csv
USDCNY,Expert,20,10000,-6.47,756,-.0085,0.536,90.0,-0.16,0.15,-0.17,0.14,-0.086,-6.47,231,-0.001,2024 news file.csv
USDCNY,Expert,30,10000,33.99,699,.0486,0.329,90.0,-0.13,0.23,-0.14,0.23,0.509,33.99,231,0.004,2024 news file.csv
USDCNY,Expert,60,10000,340.94,587,.5808,0.078,90.0,-0.02,1.29,0.03,1.38,1.428,340.94,231,0.037,2024 news file.csv
USDCNY,Expert,90,10000,931.12,512,1.8185,0.027,90.0,0.32,3.61,0.46,3.88,1.791,931.12,231,0.102,2024 news file.csv
USDCNY,Expert,120,10000,38.68,460,.0840,0.477,90.0,-2.45,2.29,-2.68,2.11,0.058,38.68,231,0.004,2024 news file.csv
USDCNY,Expert,150,10000,623.53,423,1.4740,0.193,90.0,-1.26,4.20,-1.32,4.16,0.903,623.53,231,0.068,2024 news file.csv
USDCNY,Expert,180,10000,100.34,393,.2553,0.452,90.0,-3.10,3.26,-3.26,3.14,0.132,100.34,231,0.011,2024 news file.csv
USDCNY,Expert,210,10000,1271.29,370,3.4359,0.102,90.0,-0.97,7.90,-1.06,7.83,1.289,1271.29,231,0.139,2024 news file.csv
USDCNY,Expert,240,10000,1862.91,352,5.2923,0.036,90.0,0.41,10.07,0.50,10.16,1.801,1862.91,231,0.203,2024 news file.csv
USDCNY,Competitor,5,10000,-32.38,160,-.2023,0.980,90.0,-0.36,-0.04,-0.37,-0.05,-1.946,-32.38,124,-0.007,2024 news file.csv
USDCNY,Competitor,10,10000,-25.33,159,-.1593,0.860,90.0,-0.40,0.07,-0.40,0.07,-1.049,-25.33,124,-0.005,2024 news file.csv
USDCNY,Competitor,20,10000,-8.17,157,-.0520,0.600,90.0,-0.38,0.28,-0.39,0.28,-0.245,-8.17,124,-0.002,2024 news file.csv
USDCNY,Competitor,30,10000,-19.91,154,-.1292,0.702,90.0,-0.53,0.28,-0.53,0.27,-0.506,-19.91,124,-0.004,2024 news file.csv
USDCNY,Competitor,60,10000,-125.55,149,-.8426,0.849,90.0,-2.23,0.19,-2.44,0.11,-1.109,-125.55,124,-0.026,2024 news file.csv
USDCNY,Competitor,90,10000,-484.08,145,-3.3384,0.969,90.0,-6.67,-0.61,-7.09,-0.85,-1.800,-484.08,124,-0.098,2024 news file.csv
USDCNY,Competitor,120,10000,-660.15,141,-4.6819,0.981,90.0,-8.82,-1.26,-9.29,-1.52,-2.042,-660.15,124,-0.134,2024 news file.csv
USDCNY,Competitor,150,10000,-659.67,140,-4.7119,0.972,90.0,-8.97,-0.87,-9.27,-1.05,-1.902,-659.67,124,-0.134,2024 news file.csv
USDCNY,Competitor,180,10000,-565.67,138,-4.0990,0.882,90.0,-9.61,1.31,-9.84,1.02,-1.221,-565.67,124,-0.115,2024 news file.csv
USDCNY,Competitor,210,10000,-548.49,137,-4.0035,0.876,90.0,-9.56,1.51,-9.78,1.26,-1.180,-548.49,124,-0.111,2024 news file.csv
USDCNY,Competitor,240,10000,-600.46,133,-4.5147,0.875,90.0,-11.02,1.58,-11.08,1.55,-1.178,-600.46,124,-0.122,2024 news file.csv
USDCNY,Naive+,5,10000,-8.07,526,-.0153,0.601,90.0,-0.11,0.08,-0.11,0.08,-0.236,-8.07,198,-0.001,2024 news file.csv
USDCNY,Naive+,10,10000,-51.66,512,-.1008,0.877,90.0,-0.24,0.04,-0.24,0.05,-1.078,-51.66,198,-0.007,2024 news file.csv
USDCNY,Naive+,20,10000,-92.07,477,-.1930,0.947,90.0,-0.39,0.00,-0.39,0.00,-1.538,-92.07,198,-0.012,2024 news file.csv
USDCNY,Naive+,30,10000,-42.04,447,-.0940,0.744,90.0,-0.33,0.14,-0.33,0.15,-0.672,-42.04,198,-0.005,2024 news file.csv
USDCNY,Naive+,60,10000,129.79,391,.3319,0.180,90.0,-0.16,0.90,-0.10,0.99,0.964,129.79,198,0.017,2024 news file.csv
USDCNY,Naive+,90,10000,681.18,359,1.8974,0.066,90.0,0.11,4.21,0.28,4.67,1.469,681.18,198,0.087,2024 news file.csv
USDCNY,Naive+,120,10000,1011.36,331,3.0554,0.006,90.0,0.95,5.72,1.15,6.23,2.075,1011.36,198,0.129,2024 news file.csv
USDCNY,Naive+,150,10000,855.18,309,2.7675,0.095,90.0,-0.51,6.18,-0.30,6.44,1.360,855.18,198,0.109,2024 news file.csv
USDCNY,Naive+,180,10000,1286.08,295,4.3595,0.055,90.0,-0.06,8.93,0.13,9.14,1.590,1286.08,198,0.164,2024 news file.csv
USDCNY,Naive+,210,10000,1780.20,279,6.3806,0.019,90.0,1.39,11.53,1.69,11.93,2.017,1780.20,198,0.227,2024 news file.csv
USDCNY,Naive+,240,10000,1715.53,264,6.4982,0.030,90.0,0.95,12.20,1.18,12.47,1.858,1715.53,198,0.218,2024 news file.csv
